Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Cornel Fredericks,South Africa,22,178,68,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
L J van Zyl,South Africa,27,182,80,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Steven Solomon,Australia,19,186,73,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Chris Brown,Bahamas,33,178,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Demetrius Pinder,Bahamas,23,,,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Ramon Miller,Bahamas,25,170,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Jonathan Borlee,Belgium,24,180,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Kevin Borlee,Belgium,24,180,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Luguelin Santos,Dominican Republic,19,173,61,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",YES,,1,
Conrad Williams,Great Britain,30,182,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Martyn Rooney,Great Britain,25,198,81,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Nigel Levine,Great Britain,23,178,68,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Dane Hyatt,Jamaica,28,183,86,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Errol Nolan,Jamaica,20,178,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Jermaine Gonzales,Jamaica,27,191,87,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Rusheen McDonald,Jamaica,19,170,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Yuzo Kanemaru,Japan,24,177,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Marcin Marciniszyn,Poland,29,184,80,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Maksim Dyldin,Russian Federation,25,178,68,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Pavel Trenikhin,Russian Federation,26,180,70,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Oscar Pistorius,South Africa,25,181,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Deon Lendore,Trinidad and Tobago,19,179,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Lalonde Gordon,Trinidad and Tobago,23,179,83,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",YES,,,1
Renny Quow,Trinidad and Tobago,24,160,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Bryshon Nellum,United States of America,23,183,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Lashawn Merritt,United States of America,26,188,84,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Tony McQuay,United States of America,22,180,70,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Albert Bravo,Venezuela,24,198,85,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Rabah Aboud,Algeria,31,180,64,M,Athletics,Men's 5000m,,,,
Javier Carriqueo,Argentina,33,175,62,M,Athletics,Men's 5000m,,,,
Collis Birmingham,Australia,27,189,71,M,Athletics,Men's 5000m,,,,
Craig Mottram,Australia,32,188,74,M,Athletics,Men's 5000m,,,,
David McNeill,Australia,25,173,52,M,Athletics,Men's 5000m,,,,
Hayle Ibrahimov,Azerbaijan,22,168,58,M,Athletics,Men's 5000m,,,,
Bilisuma Shugi,Bahrain,23,173,58,M,Athletics,Men's 5000m,,,,
Olivier Irabaruta,Burundi,21,171,61,M,Athletics,Men's 5000m,,,,
Ruben Sanca,Cape Verde,25,188,63,M,Athletics,Men's 5000m,,,,
Mumin Gala,Djibouti,25,,,M,Athletics,Men's 5000m,,,,
Abrar Osman Adem,Eritrea,18,168,58,M,Athletics,Men's 5000m,,,,
Amanuel Mesel,Eritrea,21,177,59,M,Athletics,Men's 5000m,,,,
Dejen Gebremeskel,Ethiopia,22,178,57,M,Athletics,Men's 5000m,,,,
Hagos Gebrhiwet,Ethiopia,18,167,65,M,Athletics,Men's 5000m,,,,
Yenew Alamirew,Ethiopia,22,178,57,M,Athletics,Men's 5000m,,,,
Hassan Hirt,France,32,178,65,M,Athletics,Men's 5000m,,,,
Arne Gabius,Germany,31,186,66,M,Athletics,Men's 5000m,,,,
Nick McCormick,Great Britain,30,188,70,M,Athletics,Men's 5000m,,,,
Alistair Ian Cragg,Ireland,32,183,61,M,Athletics,Men's 5000m,,,,
Isiah Kiplangat Koech,Kenya,18,,,M,Athletics,Men's 5000m,,,,
Thomas Pkemei Longosiwa,Kenya,24,170,57,M,Athletics,Men's 5000m,,,,
Juan Luis Barrios,Mexico,29,176,65,M,Athletics,Men's 5000m,,,,
Aziz Lahbabi,Morocco,21,169,55,M,Athletics,Men's 5000m,,,,
Soufiyan Bouqantar,Morocco,18,173,54,M,Athletics,Men's 5000m,,,,
Rene Herrera,Philippines,33,172,65,M,Athletics,Men's 5000m,,,,
Abdullah Abdulaziz Aljoud,Saudi Arabia,37,,,M,Athletics,Men's 5000m,,,,
Hussain Jamaan Alhamdah,Saudi Arabia,29,,,M,Athletics,Men's 5000m,,,,
Francisco Javier Alves,Spain,31,182,66,M,Athletics,Men's 5000m,,,,
Jesus Espana,Spain,33,173,54,M,Athletics,Men's 5000m,,,,
Abraham Kiplimo,Uganda,23,165,52,M,Athletics,Men's 5000m,,,,
Geofrey Kusuro,Uganda,23,172,57,M,Athletics,Men's 5000m,,,,
Serhiy Lebid,Ukraine,37,180,65,M,Athletics,Men's 5000m,,,,
Bernard Lagat,United States of America,37,173,59,M,Athletics,Men's 5000m,,,,
Lopez Lomong,United States of America,27,180,69,M,Athletics,Men's 5000m,,,,
Cameron Levins,Canada,23,178,65,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Teklemariam Medhin,Eritrea,23,184,61,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Kenenisa Bekele,Ethiopia,30,167,59,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Mohamed Farah,Great Britain,29,165,58,M,Athletics,"Men's 5000m, Men's 10,000m",YES,1,,
Daniele Meucci,Italy,26,178,63,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Yuki Sato,Japan,25,178,60,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Moukheld Al-Outaibi,Saudi Arabia,36,,,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Polat Kemboi Arikan,Turkey,21,175,62,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Moses Ndiema Kipsiro,Uganda,25,174,54,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Galen Rupp,United States of America,26,180,61,M,Athletics,"Men's 5000m, Men's 10,000m",YES,,1,
Luke Adams,Australia,35,189,70,M,Athletics,Men's 50km Race Walk,,,,
Nathan Deakes,Australia,34,185,66,M,Athletics,Men's 50km Race Walk,,,,
Edward Araya,Chile,26,176,61,M,Athletics,Men's 50km Race Walk,,,,
Fredy Hernandez,Colombia,34,170,59,M,Athletics,Men's 50km Race Walk,,,,
Andres Chocho,Ecuador,28,165,55,M,Athletics,Men's 50km Race Walk,,,,
Xavier Moreno,Ecuador,32,168,52,M,Athletics,Men's 50km Race Walk,,,,
Emerson Hernandez,El Salvador,23,167,61,M,Athletics,Men's 50km Race Walk,,,,
Antti Kempas,Finland,31,191,67,M,Athletics,Men's 50km Race Walk,,,,
Jarkko Kinnunen,Finland,28,188,69,M,Athletics,Men's 50km Race Walk,,,,
Cedric Houssaye,France,32,178,65,M,Athletics,Men's 50km Race Walk,,,,
Yohann Diniz,France,34,185,70,M,Athletics,Men's 50km Race Walk,,,,
Maciej Rosiewicz,Georgia,35,,,M,Athletics,Men's 50km Race Walk,,,,
Christopher Linke,Germany,23,190,65,M,Athletics,Men's 50km Race Walk,,,,
Dominic King,Great Britain,29,178,70,M,Athletics,Men's 50km Race Walk,,,,
Jaime Quiyuch,Guatemala,24,178,57,M,Athletics,Men's 50km Race Walk,,,,
Brendan Boyce,Ireland,25,183,76,M,Athletics,Men's 50km Race Walk,,,,
Colin Griffin,Ireland,30,185,71,M,Athletics,Men's 50km Race Walk,,,,
Alex Schwazer,Italy,27,187,70,M,Athletics,Men's 50km Race Walk,,,,
Marco de Luca,Italy,31,188,72,M,Athletics,Men's 50km Race Walk,,,,
Koichiro Morioka,Japan,27,184,66,M,Athletics,Men's 50km Race Walk,,,,
Takayuki Tanii,Japan,29,167,57,M,Athletics,Men's 50km Race Walk,,,,
Yuki Yamazaki,Japan,28,179,63,M,Athletics,Men's 50km Race Walk,,,,
Vitaliy Anichkin,Kazakhstan,23,170,60,M,Athletics,Men's 50km Race Walk,,,,
Igors Kazakevics,Latvia,32,176,76,M,Athletics,Men's 50km Race Walk,,,,
Tadas Suskevicius,Lithuania,27,176,65,M,Athletics,Men's 50km Race Walk,,,,
Horacio Nava,Mexico,30,180,64,M,Athletics,Men's 50km Race Walk,,,,
Jose Leyver,Mexico,26,164,52,M,Athletics,Men's 50km Race Walk,,,,
Omar Zepeda,Mexico,35,177,68,M,Athletics,Men's 50km Race Walk,,,,
Trond Nymark,Norway,35,,,M,Athletics,Men's 50km Race Walk,,,,
Jianbo Li,People's Republic of China,25,174,60,M,Athletics,Men's 50km Race Walk,,,,
Tianfeng Si,People's Republic of China,28,182,60,M,Athletics,Men's 50km Race Walk,,,,
Lukasz Nowak,Poland,23,194,78,M,Athletics,Men's 50km Race Walk,,,,
Rafal Fedaczynski,Poland,31,168,58,M,Athletics,Men's 50km Race Walk,,,,
Rafal Sikora,Poland,25,177,73,M,Athletics,Men's 50km Race Walk,,,,
Pedro Isidro,Portugal,27,175,58,M,Athletics,Men's 50km Race Walk,,,,
Dong-Young Kim,Republic of Korea,32,176,65,M,Athletics,Men's 50km Race Walk,,,,
Junghyun Yim,Republic of Korea,24,182,66,M,Athletics,Men's 50km Race Walk,,,,
Marius Cocioran,Romania,29,178,76,M,Athletics,Men's 50km Race Walk,,,,
Sergey Bakulin,Russian Federation,25,169,58,M,Athletics,Men's 50km Race Walk,,,,
Sergey Kirdyapkin,Russian Federation,32,177,54,M,Athletics,Men's 50km Race Walk,,,,
Nenad Filipovic,Serbia,33,182,72,M,Athletics,Men's 50km Race Walk,,,,
Matej Toth,Slovakia,29,185,73,M,Athletics,Men's 50km Race Walk,,,,
Milos Batovsky,Slovakia,33,180,68,M,Athletics,Men's 50km Race Walk,,,,
Marc Mundell,South Africa,29,189,77,M,Athletics,Men's 50km Race Walk,,,,
Benjamin Sanchez,Spain,27,185,70,M,Athletics,Men's 50km Race Walk,,,,
Jesus Angel Garcia,Spain,42,172,64,M,Athletics,Men's 50km Race Walk,,,,
Mikel Odriozola,Spain,39,178,67,M,Athletics,Men's 50km Race Walk,,,,
Ihor Hlavan,Ukraine,21,172,62,M,Athletics,Men's 50km Race Walk,,,,
Oleksiy Kazanin,Ukraine,30,172,65,M,Athletics,Men's 50km Race Walk,,,,
Serhiy Budza,Ukraine,27,180,70,M,Athletics,Men's 50km Race Walk,,,,
John Nunn,United States of America,34,188,78,M,Athletics,Men's 50km Race Walk,,,,
