Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12249114,20093756,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101
"Population, total",SP.POP.TOTL,Algeria,DZA,25912367,31183660,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052
"Population, total",SP.POP.TOTL,American Samoa,ASM,47038,57521,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599
"Population, total",SP.POP.TOTL,Andorra,AND,54509,65390,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281
"Population, total",SP.POP.TOTL,Angola,AGO,12171441,16440924,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,66696,83584,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963
"Population, total",SP.POP.TOTL,Argentina,ARG,32729739,37057452,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430
"Population, total",SP.POP.TOTL,Armenia,ARM,3538165,3069588,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816
"Population, total",SP.POP.TOTL,Aruba,ABW,62149,90853,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23460694,23789338,24127159
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575,8633169,8747358
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9762274
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256336,297890,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232
"Population, total",SP.POP.TOTL,Bahrain,BHR,495931,664614,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171
"Population, total",SP.POP.TOTL,Bangladesh,BGD,106188642,131581243,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,269847,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,9979610,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9507120
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11348159
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247315,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954
"Population, total",SP.POP.TOTL,Benin,BEN,4978496,6865951,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64888,65273,65636,65124,64564,64798,65001,65139,65235,65331
"Population, total",SP.POP.TOTL,Bhutan,BTN,537280,573416,686958,700950,714458,727641,740510,752967,764961,776448,787386,797765
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856244,8339512,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463422,3766706,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816
